epoch,swaperror,val_swaperror
1,0.10837606837606838,0.08846153846153847
2,0.07786324786324786,0.0823076923076923
3,0.06820512820512821,0.07153846153846154
4,0.05700854700854701,0.06692307692307692
5,0.0505982905982906,0.05384615384615385
6,0.041025641025641026,0.05384615384615385
7,0.03290598290598291,0.04923076923076923
8,0.03188034188034188,0.045384615384615384
9,0.025726495726495727,0.04
10,0.024444444444444446,0.036153846153846154
11,0.020427350427350426,0.03461538461538462
12,0.01811965811965812,0.031538461538461536
13,0.01623931623931624,0.031538461538461536
14,0.016068376068376067,0.023076923076923078
15,0.01188034188034188,0.025384615384615384
16,0.01,0.023846153846153847
17,0.009316239316239316,0.027692307692307693
18,0.00905982905982906,0.023846153846153847
19,0.007350427350427351,0.027692307692307693
20,0.006752136752136752,0.023076923076923078
21,0.006324786324786325,0.026923076923076925
22,0.004957264957264958,0.026153846153846153
23,0.006068376068376068,0.023846153846153847
24,0.003931623931623932,0.021538461538461538
25,0.0038461538461538464,0.022307692307692306
26,0.0035042735042735045,0.022307692307692306
27,0.0036752136752136754,0.022307692307692306
28,0.0029914529914529917,0.02
29,0.002393162393162393,0.019230769230769232
30,0.0022222222222222222,0.023076923076923078
31,0.002136752136752137,0.022307692307692306
32,0.002307692307692308,0.026923076923076925
33,0.0017948717948717949,0.022307692307692306
34,0.002136752136752137,0.01769230769230769
35,0.0017094017094017094,0.022307692307692306
36,0.001623931623931624,0.022307692307692306
37,0.002136752136752137,0.019230769230769232
38,0.0017948717948717949,0.023846153846153847
39,0.0020512820512820513,0.023076923076923078
40,0.001623931623931624,0.023846153846153847
41,0.0017948717948717949,0.022307692307692306
42,0.0018803418803418803,0.02
43,0.0011111111111111111,0.021538461538461538
44,0.0022222222222222222,0.02
45,0.001452991452991453,0.022307692307692306
46,0.001623931623931624,0.02076923076923077
47,0.0017094017094017094,0.023076923076923078
48,0.0018803418803418803,0.023076923076923078
49,0.0013675213675213675,0.023076923076923078
50,0.0011965811965811966,0.025384615384615384
51,0.0011965811965811966,0.02076923076923077
52,0.001623931623931624,0.021538461538461538
53,0.0017094017094017094,0.02076923076923077
54,0.0010256410256410256,0.02076923076923077
55,0.0017948717948717949,0.021538461538461538
56,0.0013675213675213675,0.02
57,0.0017094017094017094,0.023846153846153847
58,0.0017094017094017094,0.025384615384615384
59,0.001623931623931624,0.02076923076923077
60,0.001282051282051282,0.02
61,0.0015384615384615385,0.021538461538461538
62,0.001623931623931624,0.021538461538461538
63,0.0013675213675213675,0.022307692307692306
64,0.0010256410256410256,0.02076923076923077
65,0.0011111111111111111,0.02076923076923077
66,0.0015384615384615385,0.02076923076923077
67,0.0009401709401709402,0.02
68,0.0011965811965811966,0.022307692307692306
69,0.001452991452991453,0.019230769230769232
70,0.001452991452991453,0.022307692307692306
71,0.0010256410256410256,0.02076923076923077
72,0.0015384615384615385,0.019230769230769232
73,0.001452991452991453,0.019230769230769232
